Wodór;H;1;#4a9040;1,008;Wodór to pierwiastek chemiczny o liczbie atomowej 1, niemetal z bloku s układu okresowego. Wodór jest najczęściej występującym pierwiastkiem chemicznym we Wszechświecie i jednym z najczęściej spotykanych pierwiastków na Ziemi. Posiada najmniejszą masę atomową, wynoszącą 1,008u. Najczęściej występującym izotopem wodoru jest prot, który posiada atom o najprostszej możliwej budowie – składa się z jednego protonu i jednego elektronu.
Hel;He;2;#2394dd;4,0026;Hel to pierwiastek chemiczny o liczbie atomowej 2, z grupy helowców (gazów szlachetnych) w układzie okresowym. Jest po wodorze drugim najbardziej rozpowszechnionym pierwiastkiem we wszechświecie, jednak na Ziemi występuje wyłącznie w śladowych ilościach.
Lit;Li;3;#924400;6,94;Lit to pierwiastek chemiczny o liczbie atomowej 3. W czystej postaci jest miękkim, srebrnobiałym metalem. Należy do grupy metali alkalicznych (litowców). W warunkach standardowych jest najlżejszym metalem i pierwiastkiem o najniższej gęstości w fazie stałej. Jak wszystkie pierwiastki grupy I jest wysoce reaktywny i palny. W związku z tym najczęściej przechowuje się go w olejach mineralnych, ewentualnie w atmosferze gazów obojętnych (w przypadku litu są to gazy szlachetne – najczęściej argon lub hel). Po przecięciu lit ma metaliczny połysk, ale kontakt z wilgotnym powietrzem prowadzi do korozji, zmieniającej powierzchnię na srebrnoszarą, matową, a następnie, wraz z postępem korozji, na całkowicie czarną lub z licznymi czarnymi plamami.
Beryl;Be;4;#ab6200;9,0122;Beryl to pierwiastek chemiczny o liczbie atomowej 4, metal należący do drugiej grupy głównej układu okresowego. Stosunkowo rzadko występuje we Wszechświecie, z reguły jako produkt spalacji większych jąder atomowych pod wpływem promieniowania kosmicznego.
Bor;B;5;#995100;10,81;Bor to pierwiastek chemiczny o liczbie atomowej 5, półmetal z bloku p układu okresowego. Bor pod względem chemicznym przypomina krzem i węgiel, gdyż tworzy borowodory – analogi węglowodorów i krzemowodorów. Reakcja boru z gorącym, stężonym kwasem azotowym prowadzi do utworzenia kwasu borowego.
Węgiel;C;6;#4a9040;12,011;Węgiel to pierwiastek chemiczny o liczbie atomowej 6, niemetal z bloku p układu okresowego. Należy do grupy 14. Ma cztery elektrony walencyjne. Węgiel jest jednym z niewielu pierwiastków znanych w starożytności. Jako pierwszy polską nazwę – węgiel – zaproponował Filip Neriusz Walter.
Azot;N;7;#4a9040;14,007;Azot to pierwiastek chemiczny o liczbie atomowej 7, niemetal z grupy 15 (azotowców) układu okresowego. W warunkach normalnych jest bezbarwnym, bezzapachowym gazem. Został odkryty w 1772 roku przez Daniela Rutherforda.
Tlen;O;8;#4a9040;15,999;Tlen to pierwiastek chemiczny o liczbie atomowej 8, niemetal z grupy tlenowców w układzie okresowym. Tlen w stanie wolnym występuje w postaci cząsteczek dwuatomowych oraz trójatomowych – ozonu.
Fluor;F;9;#ffec01;18,998;Fluor to pierwiastek chemiczny, niemetal z grupy fluorowców w układzie okresowym. Fluor w stanie wolnym występuje w postaci dwuatomowej cząsteczki. Jest żółtozielonym silnie trującym gazem o ostrym zapachu podobnym do chloru.
Neon,Ne;10;#2394dd;20,18;Neon to pierwiastek chemiczny z grupy helowców (gazów szlachetnych) w układzie okresowym. Jest to bezwonny i bezbarwny gaz. Pierwiastek został odkryty przez brytyjskich chemików sir Williama Ramsaya i Morrisa W. Traversa w 1898 roku. Nazwa pierwiastka pochodzi od greckiego słowa neos, co oznacza „nowy”.
